epoch,acc,loss,val_acc,val_loss
0,0.7008481113624524,0.9197289321147455,0.7725806447767443,1.1623513879314546
1,0.8262657416997364,0.522955551900523,0.7709677403972995,1.4275405014714888
2,0.8280647650410846,0.5044595681282157,0.7370967730399101,1.6118424492497598
3,0.8563351324486322,0.42628599728204636,0.7774193533005253,1.5333538778366582
4,0.8522230789919373,0.4165516163444372,0.8032258076052512,1.1524000437028947
5,0.8735543563751352,0.3649408131860823,0.84193548464006,1.069462082462926
6,0.8694423028724845,0.37734022715869275,0.8112903206579147,1.149275689740335
7,0.8835774865839175,0.3264546707996333,0.8290322592181544,1.1272050034615302
8,0.8843484966223665,0.32311056305007374,0.7967741916256567,1.2868602944958594
9,0.8956566436129589,0.3001298819630534,0.7983870975432857,1.3272444890391442
10,0.8887175534660606,0.31593022710925905,0.8145161301858963,1.2168540185497654
11,0.9074787973009569,0.25867466182397464,0.8258064512283572,1.2214751589682795
